income,deductions,filing_history,previous_audit,tax_paid,fraud
1651019,270300,5,0,256378,0
624975,178667,5,1,231751,1
585920,12737,3,1,188103,1
765643,147683,5,0,34420,0
937532,122565,3,0,177439,0
1373166,360049,1,1,229425,1
1767125,432804,1,1,165411,1
1690979,32037,1,0,278393,0
1727454,459595,2,0,49159,0
520431,441186,3,1,273485,1
1415494,418565,3,0,217709,0
672937,360630,0,0,123845,0
1967985,295834,0,1,276196,1
1071176,421266,2,1,237349,1
216122,160308,0,0,25288,1
366726,452704,1,1,24347,1
908559,138845,1,0,221235,0
1827312,382966,2,0,111435,0
1833887,110534,4,1,109989,1
1542148,272449,3,0,30472,0
506637,364176,5,0,293199,1
1538882,418845,5,0,63942,0
757405,70601,4,1,254814,1
1235855,416598,4,0,64831,0
472072,153924,2,1,222251,1
405184,406830,1,1,254976,1
264234,89655,2,0,215181,0
729390,441678,5,0,136121,1
709864,313636,0,1,62386,1
757325,173636,5,1,129959,1
1384963,303953,4,0,248121,0
1628052,30605,4,0,145092,0
1935776,109092,2,0,288152,0
428451,351009,0,0,119519,1
1711880,105426,3,0,211936,0
1660142,35067,0,1,90792,1
885012,267951,1,1,178877,1
934915,289518,1,0,209975,0
632280,66790,1,0,129722,0
250395,259908,5,1,281711,1
1399531,16314,0,1,175190,1
1696235,138236,0,0,268039,0
1891114,390496,1,1,285426,1
1608381,116558,2,0,270690,0
1120392,324653,1,0,228033,0
1216069,154920,2,0,48494,0
626624,107960,1,0,268211,0
1240639,78960,2,1,99412,1
275987,246965,4,1,69188,1
537337,93970,5,0,277916,0
1548773,289846,1,0,183199,0
1255916,361135,3,0,248962,0
1070728,470494,0,0,102476,0
1901683,178200,4,1,274052,1
1842607,221948,3,0,162139,0
1306921,227352,5,0,237586,0
1218507,404324,4,1,285080,1
640069,290445,4,1,100458,1
1849030,30921,4,1,106003,1
1499020,450497,3,1,80455,1
611696,392771,2,0,62064,1
676007,378161,3,1,276704,1
1388614,231908,5,0,22117,0
615993,79094,2,0,72764,0
1812088,257028,1,0,132258,0
984696,490676,3,0,133457,0
995539,303136,4,1,177704,1
246061,242481,1,0,66537,1
1530882,327778,2,1,265648,1
586613,267120,1,0,257696,0
792134,105067,3,0,162930,0
583137,90497,2,0,102155,0
286652,441700,0,0,116385,1
354520,325009,0,0,294591,1
938888,453723,5,0,85783,0
1503340,62863,0,0,188507,0
474095,111764,0,0,256200,0
504074,293854,5,1,214263,1
858308,343972,4,0,41717,0
1779440,351280,2,1,246644,1
845745,491291,4,1,133476,1
1222424,176787,2,0,94197,0
308413,98023,0,0,253139,0
1118760,452073,5,1,296393,1
719326,442757,5,0,81487,1
761263,162443,1,1,250919,1
711608,229007,3,0,194779,0
1306047,170335,2,1,48916,1
1010163,353256,2,0,130852,0
1241750,160895,2,1,266554,1
711137,204080,2,0,209146,0
1438645,478220,4,0,45868,0
1782107,84084,1,1,103397,1
621530,156281,3,0,286463,0
1846928,224881,0,1,150931,1
1462233,371545,4,1,251750,1
335628,411997,3,1,228657,1
1408075,16797,0,1,283026,1
1736977,378972,3,1,288705,1
1423718,183145,3,1,195368,1
1538424,194721,5,1,175991,1
1991924,146883,2,0,120956,0
495487,307463,2,1,131423,1
1520295,63074,1,1,23679,1
905792,405964,4,1,151587,1
1354098,437205,5,0,162501,0
954700,134844,3,0,185366,0
1328012,427203,5,0,286555,0
683241,116592,2,0,76325,0
1505664,169419,0,0,195970,0
1086151,202410,3,0,229855,0
1592801,75903,3,1,146207,1
1481148,182897,1,1,161547,1
1083315,386523,0,1,62879,1
698663,228099,1,1,95163,1
1287734,380365,0,1,133285,1
1400810,495932,1,0,174280,0
807767,244410,1,1,227300,1
1896475,193658,1,1,78280,1
1030581,399406,0,1,237521,1
1295409,206731,3,1,294766,1
1265639,416359,1,1,36502,1
1442384,46200,2,1,46861,1
488722,314219,1,0,210176,1
479814,163049,0,0,216067,0
951326,410236,5,1,33480,1
1090281,252195,2,0,135668,0
830600,279499,5,1,213428,1
937901,278421,0,1,69272,1
1769225,243913,1,0,299500,0
1471817,114924,1,0,274830,0
1929168,73788,3,0,285166,0
456024,398278,4,0,162961,1
870401,414793,2,1,293863,1
984286,287402,2,0,123166,0
265021,257016,5,0,282869,1
688125,209489,0,1,207704,1
1810834,329529,3,0,186829,0
1367890,141829,4,0,189420,0
628885,205250,1,0,292672,0
1380390,359911,1,1,159578,1
473319,145120,3,0,216386,0
414109,171160,0,0,158468,0
1714131,359452,2,1,65686,1
1139459,357236,1,1,110004,1
1910753,271587,1,0,60755,0
1996704,447232,3,1,261121,1
313206,312264,3,0,276946,1
1701391,194945,3,1,148285,1
1308568,336794,3,1,211085,1
1746511,296830,2,1,289904,1
1424049,48627,2,1,136419,1
560315,395491,5,1,104082,1
1001024,351062,0,1,194825,1
1494262,464107,0,1,104794,1
1832665,195957,4,1,171829,1
682184,434241,0,1,95661,1
1725883,82331,3,1,108543,1
1401437,277350,3,1,225374,1
1907474,357660,4,0,120106,0
1849587,80086,1,0,248709,0
1548167,114452,3,0,65355,0
823534,394499,3,1,209862,1
1701909,86118,3,0,227976,0
478005,368094,1,0,187304,1
803817,358154,0,1,20281,1
1195556,98993,0,0,173473,0
1457415,70836,4,1,237455,1
1447749,319421,3,0,202801,0
650688,337519,2,1,35594,1
1982394,45783,1,0,84113,0
877411,344777,5,1,43122,1
1262601,245803,2,1,187072,1
1915308,136765,2,1,153289,1
257208,54896,3,1,21381,1
1834356,86979,5,1,240329,1
433612,326471,4,0,208176,1
241920,116431,5,0,140470,0
886603,226521,1,1,207169,1
1995591,382193,4,1,158168,1
1830564,56026,0,0,292390,0
256297,211234,0,0,186671,1
238386,71855,3,1,112224,1
1151041,377372,0,1,190596,1
1947435,330739,4,0,190339,0
595752,378637,2,0,24707,1
1264976,66633,3,0,166172,0
1557593,18760,3,1,251738,1
361030,107619,3,1,110238,1
1355342,120720,0,0,161884,0
1652590,118639,1,1,257745,1
294870,289446,1,1,224149,1
641426,243606,1,0,191545,0
407257,454372,2,1,79605,1
569778,90101,1,1,161222,1
924225,206877,5,0,153176,0
429484,160504,0,1,33003,1
519443,12206,5,0,215634,0
1075485,128016,5,0,112328,0
1624643,465957,3,0,258194,0
1863428,294352,0,1,193506,1
668752,377444,3,0,219381,0
522151,35961,0,1,290737,1
377429,19414,3,0,76840,0
664669,69989,4,1,84537,1
1278809,305018,1,0,167176,0
1814783,77864,4,0,177359,0
897080,492832,5,1,294371,1
1545223,492990,5,0,220024,0
1467129,152419,1,1,25426,1
593650,208644,4,0,98215,0
523260,27966,0,1,254843,1
314075,244644,3,1,163772,1
526077,349423,3,0,169850,1
1115221,449411,5,0,214137,0
637804,83692,0,1,280140,1
287544,286955,1,1,45852,1
1878056,314968,2,1,109355,1
1554716,305529,3,1,243858,1
517572,457209,5,0,79677,1
1484038,248508,5,1,128111,1
1318782,154259,4,1,241530,1
258942,45600,5,0,201088,0
1940552,421420,3,1,99920,1
1648659,205429,4,1,108922,1
205020,314501,4,0,198845,1
380411,256440,0,0,78719,1
682372,108073,4,1,176205,1
1433095,215448,4,1,200919,1
1840538,336200,2,0,214500,0
360958,212141,5,1,187257,1
1677449,356679,0,0,59547,0
1328936,14992,1,1,126888,1
1827254,412558,2,1,22226,1
396657,301489,0,1,109728,1
1335246,447826,3,1,41263,1
1661280,378973,0,1,270056,1
726773,91869,1,1,156725,1
1229526,170321,5,0,150085,0
207140,233596,3,0,154801,1
1370326,335255,2,0,148731,0
1047932,203057,1,1,277778,1
699281,465471,0,1,256722,1
486372,394135,4,1,292735,1
438466,150867,3,0,29897,0
1644851,419815,2,0,239361,0
1548558,216586,0,0,57379,0
1361666,456427,0,0,133389,0
1964247,315217,4,0,32119,0
1766411,234389,5,0,268054,0
444742,308920,1,0,295827,1
328258,368965,2,0,262095,1
1747923,367266,2,0,135161,0
604666,89069,5,0,227037,0
1867177,98022,3,0,179580,0
416011,329976,2,1,207086,1
1573559,156112,2,0,39761,0
1301370,399776,3,0,183717,0
1398694,100566,5,1,80933,1
823981,344057,4,1,78039,1
1551736,132044,1,1,202290,1
416034,50081,2,1,239384,1
1543072,168038,0,1,175381,1
372738,341982,4,0,126089,1
1874574,491753,4,1,268663,1
966469,362423,4,1,230146,1
1760561,342291,2,1,193055,1
243034,104331,3,1,232304,1
1875689,107163,1,1,134503,1
1151430,315594,0,0,47549,0
1689025,443166,0,1,262354,1
872307,152044,5,1,20778,1
1464723,416182,0,0,269625,0
458097,229598,0,0,100746,0
1402311,463381,1,0,96600,0
1250799,46582,1,1,44697,1
494059,276180,3,1,145859,1
437717,179552,5,1,183166,1
965814,60599,2,0,67983,0
1754820,171221,2,1,196243,1
436762,116198,3,0,109595,0
1997630,249077,5,1,260759,1
1090859,19341,5,0,198299,0
1258466,456784,2,0,141682,0
1502889,322008,0,1,206288,1
676704,350340,4,0,136271,0
929476,381343,5,1,77716,1
1995670,156205,3,1,46739,1
607271,207530,3,1,21196,1
1342214,357689,2,0,104651,0
1659734,258100,2,1,64188,1
1934255,361193,0,0,64335,0
248558,382175,4,1,207196,1
1875370,256650,4,0,57493,0
399647,238444,0,0,221144,0
1919249,107170,1,0,138296,0
390863,92814,5,1,120625,1
1926151,195992,4,0,123583,0
629565,196863,3,1,229926,1
1507025,459736,1,1,205649,1
1898689,478812,4,0,238065,0
506689,293361,0,1,27589,1
994120,218723,3,1,147296,1
661722,462099,1,0,76846,1
249636,128517,2,1,75070,1
1732921,264674,5,1,279601,1
1115739,79754,0,1,276118,1
985200,232571,3,0,130288,0
1658236,370193,3,1,195148,1
1019607,200705,4,1,241387,1
872245,218290,1,1,254883,1
271298,299786,0,1,44427,1
1795248,489090,5,1,260308,1
934706,24393,3,0,122226,0
817149,391115,4,1,40854,1
1096923,228721,1,1,178302,1
602376,264286,2,0,111147,0
639761,122635,2,1,229676,1
1689764,121421,1,1,81859,1
242378,201825,4,1,207759,1
273143,246838,1,1,299691,1
482991,15107,0,0,121832,0
261079,340520,3,1,129673,1
1621183,327779,1,1,89952,1
1103341,110709,3,1,155818,1
1903544,328705,0,1,245090,1
801196,444490,5,0,95232,0
1898350,495253,3,1,133967,1
1726917,328609,4,0,156216,0
616941,315258,4,0,185114,0
1626021,87989,4,0,54871,0
1100803,436180,5,0,141651,0
322506,46046,2,1,268902,1
1993744,321688,3,1,140263,1
957055,184731,4,1,261382,1
1114717,241053,0,0,283959,0
1446525,359284,2,0,218826,0
1677453,484712,2,1,180315,1
1358063,278246,1,0,178017,0
1524081,325227,2,1,182803,1
425428,309735,0,0,291757,1
247473,416358,5,0,223233,1
537271,104061,2,1,295827,1
1120628,40108,3,0,260518,0
754866,409552,5,0,241917,0
1073144,470059,0,0,262061,0
660300,93351,2,1,111606,1
829804,267969,3,1,299898,1
1463513,222167,0,0,191706,0
646891,87901,3,0,294615,0
752421,12684,1,1,226629,1
1688638,217184,4,0,151719,0
1689596,325917,3,0,172514,0
1302244,209078,0,0,291466,0
897011,91408,2,1,116746,1
914643,269013,4,0,204728,0
1448460,409906,1,1,267304,1
1717176,255791,4,0,169651,0
1586992,366142,4,1,167647,1
1151048,328584,4,1,166514,1
408523,293706,5,1,138324,1
1441061,82528,0,0,38303,0
1803681,336676,4,1,52993,1
1779666,34121,0,1,247347,1
392380,46090,5,1,21039,1
1811947,183000,4,1,75312,1
1314341,184485,4,0,271117,0
1707415,263465,5,0,165060,0
894787,386025,3,0,199138,0
335167,23326,2,0,145570,0
370619,50363,2,1,35283,1
858286,167751,4,1,168584,1
1793327,69502,5,0,183892,0
1583912,89787,3,0,63376,0
596294,79843,2,1,50417,1
1051221,179401,3,1,89945,1
1284106,128960,5,1,209304,1
802504,378042,5,0,123388,0
1858859,284504,3,0,166296,0
472501,26206,5,1,261910,1
777178,236037,3,1,264006,1
830605,133780,3,0,51624,0
321459,394566,3,1,58697,1
1279289,264641,2,1,111809,1
1760695,90194,3,1,161282,1
232066,488918,5,1,293166,1
1450967,129975,2,0,81927,0
1908692,254041,4,0,202096,0
448839,419405,1,0,271558,1
678667,310489,3,1,229365,1
1137759,124587,0,1,164390,1
1271722,411945,5,0,257982,0
1235256,308084,0,1,243547,1
943868,230068,3,0,144380,0
882896,316252,3,1,270722,1
1012176,46836,2,1,77922,1
478098,255617,2,0,171200,0
1295912,239332,4,1,50975,1
294468,311206,4,0,26175,1
1667007,29174,3,0,34175,0
802057,84709,0,0,248423,0
771057,267910,5,0,152036,0
1576146,358252,3,1,289155,1
1059633,57903,0,0,98220,0
654235,173522,4,0,253801,0
1668387,234117,4,1,259102,1
727172,342998,3,0,32109,0
1983558,361402,5,1,272016,1
1890246,34561,0,1,222844,1
344437,287347,4,1,41332,1
1048050,484514,5,1,276254,1
1585132,331001,0,0,267061,0
299304,115581,1,0,291912,0
1505289,341253,4,1,121645,1
1698252,104792,1,1,58228,1
1242831,326086,2,1,285487,1
556391,71073,0,1,249659,1
582974,336635,5,0,216335,0
1209044,225456,4,0,221434,0
1841186,17458,1,1,79713,1
704374,121626,1,1,31037,1
1141945,147143,0,1,91524,1
412666,447679,0,1,208429,1
1998215,351205,0,0,57959,0
1520586,465625,5,0,251013,0
1186072,447537,0,0,229184,0
1607787,261297,0,0,288229,0
1963367,225597,4,1,181651,1
676226,305893,2,1,108673,1
1060758,315772,5,1,99566,1
1811462,240512,4,1,101450,1
1927874,123147,5,0,106084,0
555951,484098,5,1,231150,1
325058,146777,2,0,287850,0
1052170,329626,0,0,94776,0
1682370,99140,5,1,199216,1
1395947,291219,4,0,70576,0
1792372,419015,5,0,281504,0
1290418,310918,0,1,80469,1
1638592,72134,3,1,66559,1
1161085,467360,1,0,297988,0
446449,16755,1,1,185297,1
1300950,456405,2,1,207869,1
1755613,438454,1,0,171504,0
688559,80225,0,1,74110,1
748707,451137,0,0,73404,1
1035234,310405,5,1,122220,1
1089654,478534,3,1,259852,1
541282,329257,3,0,44046,1
1282607,20873,4,0,87232,0
888611,198331,2,0,283397,0
1483579,150863,1,0,114858,0
1186101,28275,3,1,45411,1
662694,243057,5,0,175390,0
1225311,397882,4,0,227238,0
1234689,57639,0,0,61463,0
1999026,391727,1,1,204682,1
412770,19883,5,0,160047,0
460269,213818,1,1,52156,1
441198,121059,4,1,285762,1
1766514,170572,5,1,202414,1
1346005,197290,4,1,36104,1
1547750,255409,3,1,59440,1
517131,267705,0,1,24713,1
855904,300963,3,1,182229,1
997309,439954,3,0,131375,0
1750859,254357,0,0,108384,0
496957,297882,0,1,107544,1
806751,241596,4,1,191962,1
1500974,491322,0,0,128347,0
265497,208730,5,0,280077,1
1846811,206046,1,1,178820,1
369796,267251,5,1,24022,1
872770,323719,0,1,45816,1
261874,136668,0,1,187402,1
1674112,70392,2,0,151239,0
1047754,78033,3,1,198154,1
1083895,232215,4,0,257197,0
953911,58111,5,1,20808,1
1674926,329226,4,1,47916,1
723244,414918,4,0,161015,0
1465892,198977,2,0,94292,0
902474,109887,3,1,147780,1
1473087,114421,3,0,260440,0
914639,411576,4,1,155169,1
1141307,184805,4,0,255804,0
1394280,375159,0,0,239833,0
1448282,478518,1,1,231928,1
398301,301428,4,1,23758,1
1031053,444084,3,0,257469,0
1545451,176878,5,1,229063,1
1561767,496970,4,1,246639,1
750017,339421,5,1,20248,1
1426926,365732,3,0,279119,0
950872,291823,3,1,260672,1
1491320,320009,4,1,137680,1
763187,347413,5,0,51659,0
1077114,30465,5,0,141625,0
495336,367415,1,0,215897,1
1223983,323659,1,0,39788,0
867470,336938,1,0,195479,0
1015437,216675,1,0,274563,0
587982,297102,0,1,215487,1
794133,419853,5,0,128387,0
1930158,450528,0,1,293143,1
653030,252230,0,0,112223,0
417954,400011,2,1,170473,1
564254,161697,5,0,82937,0
262004,38246,1,0,168581,0
903498,183910,4,1,78896,1
1725943,377388,5,1,85254,1
661601,51947,2,1,184288,1
1370833,269415,1,0,134813,0
1067464,405139,5,0,269896,0
556149,48525,1,0,192243,0
1662372,339893,5,0,33296,0
1195050,401870,1,1,81407,1
1561572,333300,0,1,124162,1
1959265,464632,5,0,118645,0
1988085,298444,2,0,202807,0
428433,269352,0,1,140542,1
1441861,419838,0,0,132601,0
702069,288656,2,0,63410,0
622694,73786,2,0,240785,0
994299,137305,0,1,85376,1
946891,171169,2,0,73954,0
1081436,174645,2,1,34663,1
1811653,296928,1,0,37428,0
1640109,299844,2,0,212944,0
1532477,438333,4,0,251488,0
414373,223860,1,0,226970,0
1291763,473302,3,0,255876,0
1423834,339738,4,1,295820,1
1531362,150245,0,0,247842,0
1655496,310762,1,0,226897,0
1269410,269707,1,1,61627,1
1874198,238909,2,1,91728,1
321271,307000,4,1,268293,1
736669,391559,0,1,275981,1
470016,77456,0,0,288881,0
1104025,175413,5,0,158847,0
1530199,384752,0,0,208806,0
1072393,276322,5,1,260046,1
1070166,145808,3,0,126511,0
1521151,314782,2,0,204314,0
1179825,313550,0,0,212881,0
1262458,96327,3,1,42802,1
582485,265403,2,1,257613,1
1513672,407684,3,1,277185,1
556275,213311,4,1,167251,1
1906864,138339,0,1,177107,1
372879,31100,5,0,124247,0
1035283,441473,1,0,215210,0
414294,255133,4,1,195290,1
857052,405262,5,0,177267,0
1679910,369586,4,1,113425,1
1086828,338029,5,0,253114,0
1843529,134614,4,1,157894,1
667690,128530,3,0,147861,0
892251,373638,1,0,180976,0
1027418,153011,3,0,170348,0
704550,459531,5,0,73692,1
1478222,124825,1,1,286156,1
979157,268699,2,1,75172,1
1964884,141022,0,0,160985,0
248870,494611,4,1,46982,1
400487,120739,1,1,236810,1
1423987,458260,1,0,193192,0
1833228,49489,3,0,89280,0
722538,63475,4,0,231011,0
657184,173320,3,1,95585,1
461504,278479,5,0,208137,1
1851084,62441,0,0,181941,0
1302546,486743,2,1,153271,1
1070511,231053,3,0,231580,0
1014451,423696,4,1,194598,1
466181,100638,4,1,40273,1
486789,178430,3,0,162672,0
1902591,387590,0,1,190817,1
671522,354135,3,0,279851,0
316991,491936,4,0,195098,1
365102,451721,4,0,186129,1
1446429,112714,2,0,163775,0
1249233,108068,1,1,154048,1
1477247,308139,4,1,181889,1
202834,493097,2,0,25168,1
367656,337880,0,1,216942,1
1431083,77596,1,1,33258,1
1363320,452003,2,1,295401,1
501040,235505,3,1,238191,1
550853,399816,0,1,94186,1
1338329,253235,0,0,174633,0
257292,232724,2,1,266159,1
371785,450765,2,0,159199,1
1386973,267109,2,0,35767,0
968808,455329,4,1,128787,1
967655,418805,4,0,43359,0
947574,290766,2,1,199461,1
1478319,367690,0,0,106071,0
761871,18148,3,1,182095,1
1172470,206637,2,0,271746,0
1623999,388173,2,0,138949,0
1355103,48837,1,0,283967,0
962310,110731,3,0,231270,0
1679450,412131,2,0,263683,0
1110136,338910,4,0,181102,0
1934620,220665,0,0,143929,0
1061283,63613,0,0,152073,0
1117887,333074,0,1,31557,1
871615,80262,2,0,256768,0
1396578,397652,5,1,201192,1
1937266,420444,1,1,83318,1
1733859,277506,0,0,132843,0
1087945,137779,1,0,155999,0
1350034,326360,3,0,152390,0
916706,74572,2,0,134219,0
485989,248684,3,0,126680,0
1607932,486931,0,0,80037,0
1313079,230048,3,1,205743,1
404054,156385,3,1,30206,1
1448829,144679,1,0,59382,0
1406428,452200,3,0,107431,0
1812336,155452,1,1,135453,1
364476,48854,3,0,131717,0
392433,408334,2,0,39324,1
1888786,256725,4,0,224060,0
217978,417131,1,0,110310,1
964056,50386,5,0,224768,0
1624911,225973,3,1,192404,1
334131,47105,2,0,113683,0
1873957,426827,5,1,283249,1
960272,300297,2,1,241923,1
402910,394955,1,1,180990,1
941684,103688,5,1,28429,1
549409,236257,1,1,261690,1
1320380,45370,5,0,204260,0
1735425,432859,0,0,226957,0
1569971,331977,3,0,222766,0
1886102,57758,5,0,164833,0
895500,298033,5,1,165817,1
1100965,55168,1,1,296151,1
1965894,440339,4,1,267859,1
970837,497464,1,0,206376,0
530606,146308,0,0,192821,0
1310004,327177,2,0,62595,0
1071932,486915,2,1,122482,1
681368,83525,3,0,98910,0
1794143,454084,4,0,58328,0
1721082,406025,0,0,294964,0
1864686,200514,0,0,270842,0
303969,196367,4,0,195613,1
1026522,95046,4,1,99157,1
1766521,118808,3,0,130767,0
1873066,142173,4,0,241799,0
579377,123535,1,0,155067,0
373659,124022,4,1,184396,1
1504682,358887,2,0,267185,0
1672119,445248,1,1,266358,1
1176346,325344,3,1,132618,1
1762688,114722,3,1,223431,1
1101139,88221,5,1,229389,1
713250,316878,1,1,96313,1
